City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
489,tikaitnagar,26.95,81.5833,11.16,64,0,2.78,IN,1675557347
490,bellevue,47.6104,-122.2007,10.88,88,100,2.06,US,1675556920
491,touros,-5.1989,-35.4608,26.44,80,56,5.78,BR,1675557221
492,balykshi,47.0667,51.8667,-6.0,93,75,3.0,KZ,1675557348
493,arman,59.7,150.1667,-21.94,81,20,3.14,RU,1675557348
494,takoradi,4.8845,-1.7554,25.72,87,11,2.94,GH,1675557349
495,dunedin,-45.8742,170.5036,22.67,71,100,0.89,NZ,1675556934
496,christchurch,-43.5333,172.6333,28.28,41,98,10.29,NZ,1675556958
497,irbeyskoye,55.6428,95.4522,-18.55,99,98,0.54,RU,1675557350
498,wagga wagga,-35.1167,147.3667,24.22,52,0,2.24,AU,1675557350
499,harda,22.3333,77.1,14.65,35,2,2.46,IN,1675557350
500,murray bridge,-35.1167,139.2667,20.62,51,2,2.19,AU,1675557351
501,coquimbo,-29.9533,-71.3436,19.85,72,0,4.12,CL,1675557229
502,oktyabrskiy,54.4815,53.471,-13.07,94,100,0.67,RU,1675557351
503,bilbor,47.05,25.5167,-9.18,90,100,2.2,RO,1675557352
504,havre-saint-pierre,50.2334,-63.5986,-16.0,55,75,7.72,CA,1675557352
505,ulaangom,49.9811,92.0667,-25.94,91,100,0.79,MN,1675557352
506,cotonou,6.3654,2.4183,27.99,89,40,6.17,BJ,1675557353
507,requena,39.4883,-1.1004,7.11,32,0,2.17,ES,1675557353
508,strezhevoy,60.7333,77.5889,-22.2,100,100,1.68,RU,1675557353
509,dagana,16.5165,-15.5068,19.87,12,100,4.85,MR,1675557354
510,nhulunbuy,-12.2333,136.7667,29.34,70,100,1.54,AU,1675557354
511,zapolyarnyy,69.4154,30.8136,-13.4,100,66,2.01,RU,1675557185
512,teguise,29.0605,-13.564,12.12,67,20,3.6,ES,1675557355
513,yokadouma,3.5167,15.05,20.36,45,6,0.78,CM,1675557355
514,athabasca,54.7169,-113.2854,2.23,96,99,2.48,CA,1675557356
515,nioro,13.35,-15.75,25.55,11,100,3.89,GM,1675557356
516,nouadhibou,20.931,-17.0347,18.99,30,100,7.72,MR,1675557357
517,plettenberg bay,-34.0527,23.3716,21.8,72,0,3.88,ZA,1675557357
518,merauke,-8.4667,140.3333,27.27,80,80,4.38,ID,1675557357
519,esna,25.2934,32.554,10.01,39,64,3.04,EG,1675557358
520,abu samrah,35.3029,37.1841,4.24,92,100,2.1,SY,1675557358
521,macau,22.2006,113.5461,18.81,82,40,2.06,MO,1675557067
522,shihezi,44.3,86.0333,-10.61,93,25,1.59,CN,1675557358
523,gornopravdinsk,60.05,69.9,-19.13,99,100,1.6,RU,1675557359
524,richards bay,-28.783,32.0377,21.31,91,9,1.13,ZA,1675557359
525,delaware,39.0004,-75.4999,-2.77,46,0,4.63,US,1675557359
526,betanzos,43.2804,-8.2147,7.83,84,100,2.06,ES,1675557360
527,huaihua,27.5494,109.9592,6.27,95,100,0.57,CN,1675557360
528,sobolevo,54.4299,31.8996,-6.07,94,99,5.02,RU,1675557360
529,pita,10.8333,-12.5833,23.89,28,5,1.47,GN,1675557361
530,helong,42.5397,128.9972,-4.66,60,92,2.93,CN,1675557361
531,esil,51.9556,66.4042,-12.19,95,100,4.21,KZ,1675557364
532,mundra,22.85,69.7333,19.6,35,0,1.75,IN,1675557368
533,karratha,-20.7377,116.8463,33.49,43,7,3.22,AU,1675557372
534,waingapu,-9.6567,120.2641,25.91,85,100,3.93,ID,1675557378
535,kalmunai,7.4167,81.8167,24.8,84,98,3.99,LK,1675557381
536,bilibino,68.0546,166.4372,-35.35,96,12,1.5,RU,1675557156
537,sistranda,63.7256,8.834,3.98,93,100,10.8,NO,1675557387
538,guayaramerin,-10.8368,-65.3614,22.38,97,100,0.85,BO,1675557391
539,ngaoundere,7.3167,13.5833,20.7,23,100,1.75,CM,1675557278
